Geneid	SRR1552454	SRR1552452	SRR1552450	SRR1552448	SRR1552446	SRR1552444
100039863	0	0	0	0	0	0
100039864	6	5	14	1	9	18
100039876	0	0	0	0	0	0
100039890	0	0	0	0	0	0
100039895	0	0	0	0	0	0
100039897	0	0	0	0	0	0
100039899	0	0	0	0	0	0
100039901	0	0	0	0	0	0
100039904	0	0	0	0	0	0
100039905	0	0	0	0	0	0
100039913	0	0	0	0	0	0
100039914	0	0	0	0	0	0
100039934	0	0	0	0	0	0
100039939	0	0	0	0	0	0
100039948	0	0	0	0	0	0
100039954	0	0	0	0	0	0
100039957	0	0	0	0	0	0
100039968	3	4	1	1	3	0
100039973	0	0	0	0	0	0
100039988	0	0	0	0	0	0
100040000	0	0	0	0	0	0
100040016	0	0	0	0	0	0
100040018	0	0	0	0	0	0
100040020	0	0	0	0	0	0
100040022	0	0	0	0	0	0
100040031	0	0	0	0	0	0
100040035	0	0	0	0	0	0
100040044	0	0	0	0	0	2
100040048	0	0	0	0	0	0
100040049	0	0	0	0	0	1
100040052	0	1	1	1	1	0
100040054	0	0	0	0	0	0
100040083	0	0	0	0	0	0
100040110	0	0	0	0	0	0
100040123	0	0	0	0	0	0
100040135	0	0	0	0	0	0
100040160	0	0	0	0	0	0
100040171	0	0	0	0	0	0
100040187	0	0	0	0	0	0
100040196	0	0	0	0	0	0
100040201	0	0	0	0	0	0
100040208	0	0	0	0	0	0
100040213	0	0	0	0	0	0
100040214	0	0	0	0	0	0
100040220	3	13	4	6	5	10
100040223	0	0	0	0	0	0
100040233	0	0	0	0	0	0
100040244	0	0	0	0	0	0
100040248	0	0	0	0	0	0
100040249	0	0	0	0	0	0
100040260	0	0	0	0	0	1
100040262	0	0	0	0	0	0
100040263	0	0	0	0	0	0
100040264	0	0	0	0	0	0
100040268	0	0	0	0	0	0
100040276	0	0	0	0	0	0
100040293	0	0	0	0	0	0
100040294	0	0	0	0	0	0
100040297	13	8	13	6	20	19
100040298	0	0	0	0	0	0
100040299	0	0	0	0	0	0
100040317	0	0	0	0	0	0
100040320	0	0	0	0	0	0
100040322	1	0	0	0	1	0
100040335	0	0	0	0	0	0
100040339	0	0	0	0	0	0
100040357	0	0	0	0	0	0
100040363	0	0	0	0	0	0
100040377	3	2	2	1	1	0
100040382	0	0	0	0	0	0
100040392	0	0	0	0	0	0
100040400	0	0	0	0	0	0
100040410	0	0	0	0	0	0
100040416	0	0	0	0	0	0
100040417	0	0	0	0	0	0
100040418	0	0	0	0	0	0
100040421	0	0	0	0	0	0
100040429	0	0	0	0	0	0
100040447	0	0	2	0	0	0
100040448	0	0	0	0	0	0
100040458	0	0	0	0	0	0
100040462	0	0	0	0	0	0
100040465	0	0	0	0	0	0
100040467	0	0	0	0	0	0
100040482	0	0	0	0	0	0
100040483	0	0	0	0	0	0
100040489	0	0	0	0	0	0
100040494	0	0	0	0	0	0
100040500	0	0	0	0	0	0
100040505	0	2	0	0	0	1
100040509	0	0	0	0	0	0
100040525	1	0	0	0	1	0
100040529	0	0	0	0	0	0
100040531	1	0	1	2	1	4
100040533	0	0	0	0	0	0
100040543	18	24	26	0	0	3
100040552	0	0	0	0	0	0
100040557	0	0	0	0	0	0
100040563	0	0	0	0	0	0
100040564	0	0	0	0	0	0
100040567	0	0	0	0	0	0
100040572	0	0	0	0	0	0
100040591	0	2	0	0	0	0
100040595	0	0	0	0	0	0
100040599	0	0	0	0	0	0
100040606	0	0	0	0	0	0
100040608	0	0	2	0	0	0
100040617	0	0	0	0	0	0
100040635	0	0	0	0	0	0
100040636	0	0	0	0	0	0
100040654	0	0	0	0	0	0
100040657	0	0	0	0	0	0
100040667	0	0	1	0	0	1
100040671	0	1	0	0	0	0
100040673	0	0	0	0	0	0
100040682	0	1	0	0	0	0
100040697	0	0	0	0	0	0
100040698	0	0	0	0	0	0
100040711	0	0	0	0	0	0
100040712	0	0	0	0	0	0
100040714	0	0	0	0	0	0
100040724	0	1	0	0	0	0
100040732	0	0	0	0	0	0
100040736	0	1	0	0	0	0
100040766	0	0	0	0	0	0
100040771	0	0	0	0	0	0
100040781	0	0	0	0	0	0
100040786	0	0	0	0	0	0
100040792	3	2	0	0	0	0
100040822	0	0	0	0	0	0
100040843	0	0	0	0	0	0
100040851	0	0	0	0	0	0
100040852	0	0	0	0	0	0
100040854	0	0	0	0	0	0
100040859	0	0	0	0	0	0
100040861	0	0	0	0	0	0
100040867	0	0	0	0	0	0
100040870	0	0	0	0	0	0
100040873	0	0	0	0	0	0
100040880	0	0	0	0	0	0
100040882	0	0	0	0	0	0
100040885	0	0	0	0	0	0
100040894	0	0	0	0	0	0
100040897	0	0	0	0	0	0
100040899	0	0	0	0	0	0
100040911	0	0	0	0	0	0
100040923	0	0	0	0	0	0
100040926	0	0	0	0	0	0
100040928	0	0	0	0	0	0
100040929	0	0	1	1	0	0
100040937	0	0	0	0	0	0
100040944	0	0	0	0	0	0
100040961	0	0	0	0	0	0
100040963	0	0	0	0	0	0
100040972	0	0	0	0	0	0
100040974	0	0	0	0	0	0
100040981	0	0	0	0	0	0
100040991	0	0	0	0	0	0
100040997	0	0	0	0	0	0
100040999	0	1	0	0	0	0
100041003	0	0	0	0	0	0
100041012	0	0	0	0	0	0
100041014	0	0	0	0	0	0
100041019	0	0	0	0	0	0
100041032	0	0	0	0	0	0
100041033	0	0	0	0	0	0
100041054	0	0	0	0	0	0
100041057	0	0	0	0	0	0
100041062	0	0	0	0	0	0
100041076	0	0	0	0	0	0
100041077	0	0	0	0	0	0
100041080	0	0	0	0	0	0
100041085	0	0	0	2	0	0
100041089	0	0	0	0	0	0
100041096	0	0	0	0	0	0
100041098	2	5	1	6	1	3
100041102	0	0	0	0	0	0
100041106	2	0	1	0	3	0
100041107	0	0	0	0	0	0
100041108	0	0	0	0	0	0
100041115	0	0	0	0	0	0
100041117	0	0	0	0	0	0
100041119	0	0	0	0	0	0
100041120	0	0	0	0	0	0
100041121	0	0	0	0	0	0
100041139	0	0	0	0	0	0
100041141	0	0	0	0	0	0
100041142	0	0	0	0	0	0
100041146	0	0	0	0	0	0
100041151	0	0	0	0	0	0
100041168	0	0	0	0	0	0
100041177	0	0	0	0	0	0
100041179	0	0	0	0	0	0
100041184	0	0	0	0	0	0
100041187	0	0	0	0	0	0
100041194	0	1	0	0	0	0
100041207	0	0	0	0	0	0
100041223	0	0	0	0	0	0
100041224	0	0	0	0	0	0
100041230	0	0	0	0	0	0
100041231	0	1	0	0	1	0
100041241	0	0	0	0	0	0
100041244	0	0	0	0	0	0
100041250	0	0	0	0	0	0
100041253	0	0	0	0	0	0
100041255	0	0	0	0	0	0
100041256	0	0	0	0	0	0
100041261	0	0	0	0	0	0
100041262	0	0	0	0	0	0
100041264	0	0	0	0	0	0
100041273	0	0	0	0	0	0
100041279	0	0	0	0	0	0
100041281	0	0	0	0	0	0
100041283	0	0	1	0	0	0
100041284	0	0	0	0	0	0
100041286	2	6	10	2	7	12
100041290	0	0	1	0	0	0
100041293	0	0	0	0	0	0
100041294	0	0	2	0	0	0
100041296	0	0	0	0	0	0
100041306	0	0	0	0	0	0
100041309	0	0	0	0	0	0
100041311	0	0	0	1	0	0
100041317	0	0	0	0	0	0
100041336	0	0	0	0	0	0
100041339	0	0	0	0	0	0
100041345	0	0	0	0	0	0
100041346	0	0	0	0	0	0
100041347	0	0	0	0	0	0
100041351	0	0	0	0	0	0
100041352	0	0	0	0	0	0
100041354	0	0	0	0	0	0
100041362	0	0	0	0	0	0
100041373	0	0	0	0	0	0
100041374	1	0	0	0	0	0
100041375	0	0	0	0	0	0
100041379	0	0	0	0	0	0
100041380	0	0	0	0	0	0
100041412	0	0	0	0	0	0
100041433	0	1	0	0	0	0
100041440	0	0	0	0	0	0
100041449	0	0	0	0	0	0
100041450	0	0	0	0	0	0
100041478	0	0	0	0	1	0
100041480	0	1	2	0	2	0
100041481	0	0	0	0	0	0
100041488	0	0	0	0	0	0
100041490	0	0	0	0	0	0
100041504	0	0	0	0	0	0
100041505	0	0	0	0	0	0
100041515	0	0	0	0	0	0
100041516	0	0	0	0	0	0
100041536	0	0	0	0	0	0
100041546	0	0	0	0	0	0
100041548	0	0	0	0	0	0
100041549	0	0	0	0	0	0
100041550	0	0	0	0	0	0
100041554	0	0	0	0	0	0
100041562	0	0	0	0	0	0
100041566	0	0	0	0	0	0
100041574	0	0	0	0	0	1
100041576	1	0	1	1	1	1
100041578	0	0	0	0	0	0
100041579	0	0	0	0	0	0
100041581	0	0	1	0	0	0
100041585	2	1	3	0	0	1
100041586	0	0	0	0	0	0
100041593	0	0	0	0	0	0
100041594	0	0	0	0	0	0
100041596	0	0	0	0	0	0
100041598	0	0	0	0	0	0
100041599	0	0	0	0	0	0
100041605	0	0	0	0	0	0
100041618	0	0	0	0	0	0
100041621	0	0	0	0	0	0
100041631	0	0	0	0	0	0
100041639	0	0	0	0	0	0
100041642	0	0	0	0	0	0
100041649	1	4	2	8	6	4
100041651	0	0	0	0	0	0
100041654	0	0	0	0	0	0
100041655	0	0	1	1	2	0
100041658	0	0	0	0	0	0
100041662	0	0	0	0	0	0
100041664	0	0	0	0	0	0
100041672	0	0	0	0	0	0
100041677	3	0	0	0	1	8
100041678	0	0	0	0	0	0
100041680	0	0	0	0	0	0
100041682	0	0	0	0	0	0
100041683	0	0	0	0	0	0
100041687	0	0	0	0	0	0
100041688	0	0	0	0	0	0
100041694	0	0	0	0	0	0
100041697	0	0	2	0	2	0
100041698	0	0	0	0	0	0
100041702	0	0	0	0	0	0
100041703	0	0	0	0	0	0
100041708	0	0	0	0	0	0
100041712	0	0	0	0	0	0
100041714	0	0	0	0	0	0
100041722	0	0	0	0	0	0
100041724	0	0	0	0	0	0
100041749	0	0	0	0	0	0
100041751	0	0	0	0	0	0
100041759	0	0	0	0	0	0
100041776	0	0	0	0	0	0
100041781	0	0	0	0	0	0
100041787	0	0	0	0	0	0
100041789	0	0	0	0	0	0
100041797	2	5	6	0	3	7
100041806	0	0	0	0	0	0
100041809	0	0	0	0	0	0
100041811	0	0	0	0	0	0
100041812	0	0	0	0	0	0
100041813	0	0	0	0	0	0
100041818	0	0	0	0	0	0
100041824	0	0	0	0	0	0
100041825	0	0	0	0	0	0
100041840	0	0	0	0	0	0
100041864	0	0	1	0	1	0
100041874	0	0	0	0	0	0
100041877	0	0	0	0	0	0
100041890	0	0	0	0	0	0
100041895	0	0	0	0	0	0
100041897	0	0	0	0	0	0
100041903	0	0	0	0	0	0
100041913	0	0	0	0	0	0
100041922	0	0	0	0	0	0
100041925	1	1	1	0	0	1
100041934	0	0	0	0	0	0
100041948	5	9	12	2	11	12
100041952	0	0	0	0	0	0
100041953	5	1	1	1	2	1
100041958	0	0	0	0	0	0
100041964	0	0	0	0	0	0
100041965	0	0	0	0	0	0
100041966	0	0	0	0	0	0
100041973	0	0	0	0	0	0
100041975	0	0	0	0	0	0
100041979	0	0	0	0	0	0
100041986	0	0	0	0	0	0
100041987	0	0	0	0	0	0
100041995	0	0	0	0	0	0
100042008	33	60	67	27	102	114
100042012	0	0	0	0	0	0
100042013	0	0	0	0	0	0
100042014	0	0	0	0	0	0
100042019	0	0	0	0	0	0
100042023	0	0	0	0	0	0
100042024	0	1	0	0	0	0
100042025	0	0	0	0	0	0
100042049	1	0	0	0	0	0
100042054	0	0	0	0	0	0
100042055	0	0	0	0	0	0
100042056	0	1	0	0	0	0
100042057	0	0	0	0	0	0
100042065	0	0	0	0	0	0
100042069	10	9	14	3	13	15
100042074	1	3	0	1	2	2
100042079	0	0	0	0	0	0
100042080	0	0	0	0	0	0
100042087	0	0	0	0	0	0
100042100	0	0	0	1	0	0
100042103	0	0	0	0	0	0
100042109	0	0	0	0	0	0
100042110	0	0	0	0	0	0
100042114	0	0	0	0	0	0
100042116	0	0	0	0	0	0
100042122	0	0	0	0	0	0
100042125	0	0	0	0	0	0
100042129	0	0	0	0	0	0
100042130	0	0	0	0	0	0
100042132	0	0	0	0	0	0
100042143	0	0	0	0	0	0
100042144	0	0	0	0	0	0
100042149	0	0	0	0	0	0
100042150	22	25	2	0	0	0
100042159	0	0	0	0	0	0
100042165	5	8	3	4	7	4
100042168	0	0	0	0	0	0
100042173	0	1	0	0	0	1
100042175	0	0	0	0	0	0
100042178	0	0	0	0	0	0
100042182	0	0	0	0	0	0
100042194	3	3	0	0	0	0
100042195	0	0	0	0	0	0
100042198	1	0	0	0	0	0
100042201	0	0	0	0	0	0
100042217	0	0	0	0	0	0
100042235	1	0	1	1	0	0
100042254	0	0	0	0	0	0
100042268	0	0	0	0	0	0
100042275	0	0	0	0	0	0
100042277	0	0	0	0	0	0
100042279	0	0	0	0	0	0
100042295	0	0	0	0	0	0
100042304	0	0	0	0	0	0
100042311	0	0	0	0	0	0
100042314	0	0	0	0	0	0
100042318	0	0	0	0	0	0
100042321	0	0	0	0	0	0
100042332	1	1	1	1	0	1
100042335	1	0	2	0	0	3
100042337	0	0	0	0	0	0
100042342	0	0	0	0	0	0
100042355	2	2	1	1	2	0
100042357	0	0	0	0	0	0
100042372	0	0	0	0	0	0
100042391	0	0	0	0	0	0
100042395	0	0	0	0	0	0
100042401	0	0	0	0	0	0
100042410	0	0	0	0	0	0
100042411	0	0	0	0	0	0
100042415	0	0	0	0	0	0
100042417	0	0	0	0	0	0
100042419	0	0	0	0	0	0
100042424	4	7	8	4	5	1
100042428	0	0	0	0	0	0
100042435	0	0	0	0	0	0
100042437	0	0	0	0	0	0
100042440	0	0	0	0	0	0
100042443	0	0	0	0	0	0
100042444	0	0	0	0	0	0
100042450	0	0	0	0	0	0
100042453	0	0	0	0	0	0
100042464	6	14	5	0	0	0
100042470	0	0	0	0	0	0
100042475	0	0	0	0	0	0
100042479	0	0	0	0	0	0
100042480	65	23	26	0	0	2
100042493	0	0	0	0	0	0
100042494	0	0	0	0	0	0
100042498	33	23	15	2	8	7
100042499	0	0	0	0	0	0
100042503	0	0	0	0	0	0
100042509	0	0	0	0	0	0
100042512	0	0	0	0	0	0
100042513	0	0	0	0	0	0
100042514	0	0	0	0	0	3
100042519	0	0	0	0	0	0
100042524	0	0	0	0	0	0
100042533	0	0	0	0	0	0
100042537	0	0	0	0	0	0
100042539	0	0	0	0	0	0
100042547	0	1	1	0	0	1
100042548	0	0	0	0	0	0
100042550	0	0	0	0	0	0
100042554	0	0	0	0	1	1
100042555	0	0	0	0	0	0
100042560	0	0	0	0	0	0
100042561	2	0	0	6	2	0
100042563	0	0	0	0	0	0
100042565	0	0	0	0	0	0
100042568	0	0	0	0	0	0
100042574	0	0	0	0	0	0
100042578	0	0	0	0	0	0
100042579	0	0	0	0	0	0
100042584	0	0	0	0	0	0
100042585	0	0	0	0	0	0
100042588	0	0	0	0	0	0
100042591	0	0	0	0	0	0
100042593	0	0	0	0	0	0
100042594	0	0	0	0	0	0
100042605	0	0	0	0	0	1
100042607	0	0	0	0	0	0
100042614	0	0	0	0	0	0
100042619	0	0	0	0	0	0
100042625	2	6	1	0	1	3
100042634	0	0	0	0	0	0
100042636	0	0	0	0	0	0
100042648	0	0	0	0	0	0
100042649	0	0	0	0	0	0
100042653	0	0	0	0	0	0
100042659	0	0	0	0	0	0
100042663	0	0	0	0	0	0
100042669	0	0	0	0	0	0
100042679	0	0	0	0	0	1
100042682	0	0	0	0	0	0
100042688	0	0	0	0	0	0
100042689	0	0	0	0	0	0
100042690	0	0	0	0	0	0
100042706	1	0	0	0	0	0
100042709	0	0	0	0	0	0
100042715	0	0	0	0	0	0
